title,revenue,domestic_rev,foreign_rev,release_date
Alto Knights,0,0,0,2024-01-01
Ballerina,0,0,0,2024-01-01
Horizon: An American Saga - Chapter 2,0,0,0,2024-01-01
Incredibles 3,0,0,0,2024-01-01
Karate Kid,0,0,0,2024-01-01
Mickey 17,0,0,0,2024-01-01
Untitled Monkeypaw Movie,0,0,0,2024-01-01
Rayman's Big Movie,0,0,0,2024-01-01
Saw XI,0,0,0,2024-01-01
The Amateur,0,0,0,2024-01-01
The Fire Inside,2952705,2952705,0,2024-12-25
What About Love,0,0,0,2024-02-14
Wolf Man,0,0,0,2024-01-01
Wolfs,0,0,0,2024-09-20
