name,round,movie,url
Troy,1,Despicable Me 4 ,https://www.themoviedb.org/movie/519182-despicable-me-4
Troy,2,Dune: Part Two,https://www.themoviedb.org/movie/693134-dune-part-two
Troy,3,The Lord of the Rings: The War of the Rohirrim,https://www.themoviedb.org/movie/839033-the-lord-of-the-rings-the-war-of-the-rohirrim
Troy,4,Karate Kid,https://www.themoviedb.org/movie/1011477-untitled-karate-kid-movie
Troy,5,Beetlejuice 2,https://www.themoviedb.org/movie/917496-beetlejuice-2
Troy,6,IF - Imaginary Friends,https://www.themoviedb.org/movie/639720-if
Troy,7,Ghostbusters: Frozen Empire,https://www.themoviedb.org/movie/967847-ghostbusters-frozen-empire
Troy,8,Challengers,https://www.themoviedb.org/movie/937287-challengers
Troy,9,The Amateur,https://www.themoviedb.org/movie/1087891-the-amateur
Troy,10,Arthur the King,https://www.themoviedb.org/movie/618588-arthur-the-king
Troy,11,ISS,https://www.themoviedb.org/movie/790462-i-s-s
Troy,12,The Book of Clarence ,https://www.themoviedb.org/movie/976584-the-book-of-clarence
Troy,13,Out of Darkness,https://www.themoviedb.org/movie/823491-out-of-darkness
Troy,14,The End We Start From,https://www.themoviedb.org/movie/973778-the-end-we-start-from
Troy,15,The Watchers,https://www.themoviedb.org/movie/1086747-the-watchers
Ethan,1,Deadpool 3,https://www.themoviedb.org/movie/533535-deadpool-3
Ethan,2,Venom 3,https://www.themoviedb.org/movie/912649-venom-3
Ethan,3,Transformers One,https://www.themoviedb.org/movie/698687-transformers-one
Ethan,4,Incredibles 3,
Ethan,5,Sonic the Hedgehog 3,https://www.themoviedb.org/movie/939243-sonic-the-hedgehog-3
Ethan,6,Madame Web,https://www.themoviedb.org/movie/634492-madame-web
Ethan,7,Borderlands,https://www.themoviedb.org/movie/365177-borderlands
Ethan,8,Harold and the Purple Crayon,https://www.themoviedb.org/movie/826510-harold-and-the-purple-crayon
Ethan,9,Project Artemis,https://www.themoviedb.org/movie/956842-project-artemis
Ethan,10,Nosferatu,https://www.themoviedb.org/movie/426063-nosferatu
Ethan,11,The Bikeriders,https://www.themoviedb.org/movie/1008409-the-bikeriders
Ethan,12,The Wild Robot ,https://www.themoviedb.org/movie/1184918-the-wild-robot
Ethan,13,What About Love,
Ethan,14,One Life,https://www.themoviedb.org/movie/760774-one-life
Ethan,15,Imaginary,https://www.themoviedb.org/movie/1125311-imaginary
Larry,1,Kingdom of the Planet of the Apes,https://www.themoviedb.org/movie/653346-kingdom-of-the-planet-of-the-apes
Larry,2,Godzilla x Kong: The New Empire,https://www.themoviedb.org/movie/823464-godzilla-x-kong-the-new-empire
Larry,3,Furiosa: A Mad Max Saga,https://www.themoviedb.org/movie/786892-furiosa-a-mad-max-saga
Larry,4,Bad Boys 4 ,https://www.themoviedb.org/movie/573435-bad-boys-ride-or-die
Larry,5,The Garfield Movie,https://www.themoviedb.org/movie/748783-the-garfield-movie
Larry,6,The Fall Guy,https://www.themoviedb.org/movie/746036-the-fall-guy
Larry,7,Argylle,https://www.themoviedb.org/movie/848538-argylle
Larry,8,Smile 2,https://www.themoviedb.org/movie/1100782-smile-2
Larry,9,Saw XI,https://www.themoviedb.org/movie/1207360-saw-xi
Larry,10,The American Society of Magical Negroes,https://www.themoviedb.org/movie/1039773-the-american-society-of-magical-negroes
Larry,11,Rayman's Big Movie,
Larry,12,Alto Knights ,https://www.themoviedb.org/movie/1013601-alto-knights
Larry,13,White Bird,https://www.themoviedb.org/movie/779816-white-bird
Larry,14,Lisa Frankenstein,https://www.themoviedb.org/movie/993784-lisa-frankenstein
Larry,15,Terrifier 3,https://www.themoviedb.org/movie/1034541-terrifier-3
Holden,1,Joker: Folie a Deux,https://www.themoviedb.org/movie/889737-joker-folie-a-deux
Holden,2,Kung Fu Panda 4,https://www.themoviedb.org/movie/1011985-kung-fu-panda-4
Holden,3,Wicked: Part One,https://www.themoviedb.org/movie/402431-wicked-part-1
Holden,4,A Quiet Place: Day One,https://www.themoviedb.org/movie/762441-a-quiet-place-day-one
Holden,5,Bob Marley: One Love,https://www.themoviedb.org/movie/802219-bob-marley-one-love
Holden,6,Civil War,https://www.themoviedb.org/movie/929590-civil-war
Holden,7,Ballerina,https://www.themoviedb.org/movie/541671-ballerina
Holden,8,Trap,https://www.themoviedb.org/movie/1032823-trap
Holden,9,Wolfs ,https://www.themoviedb.org/movie/877817-wolfs
Holden,10,Monkeypaw Movie,https://www.themoviedb.org/movie/1102485-untitled-monkeypaw-productions-project
Holden,11,It Ends with Us ,https://www.themoviedb.org/movie/1079091-it-ends-with-us
Holden,12,The Beekeeper,https://www.themoviedb.org/movie/866398-the-beekeeper
Holden,13,Land of Bad,https://www.themoviedb.org/movie/969492-land-of-bad
Holden,14,The First Omen,https://www.themoviedb.org/movie/437342-the-first-omen
Holden,15,Horrorscope,https://www.themoviedb.org/movie/719221-horrorscope
Nahiyan,1,Inside Out 2,https://www.themoviedb.org/movie/1022789-inside-out-2
Nahiyan,2,Mufasa: The Lion King,https://www.themoviedb.org/movie/762509-mufasa-the-lion-king
Nahiyan,3,Mean Girls,https://www.themoviedb.org/movie/673593-mean-girls
Nahiyan,4,Gladiator 2,https://www.themoviedb.org/movie/558449-untitled-gladiator-sequel
Nahiyan,5,Alien: Romulus,https://www.themoviedb.org/movie/945961-alien-romulus
Nahiyan,6,Twisters,https://www.themoviedb.org/movie/718821-twisters
Nahiyan,7,Mickey 17,https://www.themoviedb.org/movie/696506-mickey-17
Nahiyan,8,Horizon: An American Saga - Part I,https://www.themoviedb.org/movie/932086-horizon-an-american-saga-chapter-1
Nahiyan,9,Kraven the Hunter,https://www.themoviedb.org/movie/539972-kraven-the-hunter
Nahiyan,10,Speak No Evil,https://www.themoviedb.org/movie/1114513-speak-no-evil
Nahiyan,11,Wolf Man,https://www.themoviedb.org/movie/710295-wolf-man
Nahiyan,12,Drive Away Dolls,https://www.themoviedb.org/movie/957304-drive-away-dolls
Nahiyan,13,Horizon: An American Saga - Part II,https://www.themoviedb.org/movie/1120368-horizon-an-american-saga-chapter-2
Nahiyan,14,Flint Strong,https://www.themoviedb.org/movie/610219-flint-strong
Nahiyan,15,The Strangers: Chapter 1,https://www.themoviedb.org/movie/1010600-the-strangers-chapter-1
